,EN SOURCE TXT,Korean
1654,March Madness on Westwood One,Westwood One의 <3월의 광란> 중계
1655,Live NCAA Tournament Games,라이브 NCAA 토너먼트 게임
1656,"TuneIn Radio: News, Sports, Music & Radio Stations","TuneIn Radio: 뉴스, 스포츠, 음악 및 라디오 스테이션"
1657,"Listen to live sports, breaking news, free music on local AM FM radio & podcasts","현지 AM FM 라디오 및 팟캐스트에서 라이브 스포츠, 속보, 무료 음악 듣기"
1658,"TuneIn Radio: Music, Live News","TuneIn Radio: 음악, 라이브 뉴스"
1659,Sports & AM FM Radio Stations,스포츠 & AM FM 라디오 스테이션
1660,HEAR EVERY GAME {0}OF THE NHL SEASON.{0}GO PREMIUM.,NHL 시즌의 {0}모든 경기 청취.{0}프리미엄 가기.
1661,LESS ADS ON{0}100K STATIONS.{0}LISTEN NOW.,10만 개 스테이션에서{0}더 적은 광고로.{0}지금 듣기.
1662,CELEBRATE WOMEN’S{0}HISTORY MONTH.{0}HEAR (HER)STORY.,여성사의 달{0}기념하기.{0}여성사 관련 내용 듣기.
1663,COLLEGE BASEBALL.{0}ALL SEASON LONG.{0}LET'S PLAY BALL.,미국 대학 야구.{0}시즌 전체.{0}렛츠 플레이 볼.
1664,Birth Year (YYYY),출생년도 (YYYY)
1665,Non binary,논바이너리
1666,Prefer not to say,밝히고 싶지 않음
1667,Listen to Alabama Football,앨라배마 미식축구 듣기
1668,Listen to Alabama football for live game day coverage of the Crimson Tide.,앨라배마 크림슨 타이드 미식축구 경기를 실황으로 청취하세요.
1669,Listen to Bundesliga Radio,분데스리가 라디오 듣기
1670,Listen to Bundesliga radio and podcasts to keep up with the latest news and analysis around the league.,분데스리가 라디오 및 팟캐스트를 들으며 해당 리그에 대한 최신 뉴스와 분석을 놓치지 마세요.
1671,Christmas Radio,크리스마스 라디오
1672,Spread holiday cheer everywhere you go with nonstop Christmas Radio on every device.,모든 장치에서 논스톱 크리스마스 라디오로 어디에 계시든지 홀리데이 응원을 펼치세요.
1673,Pro Tip: Favorite the station for quick access later.,프로 팁: 추후 빠른 액세스를 위해 스테이션을 즐겨찾기로 추가하세요.
1674,"When the game is on, tap on your team's station for live play-by-play.",경기가 시작되면 팀 스테이션을 눌러 실황으로 청취하세요.
1675,Florida Gators Football Radio,플로리다 게이터스 미식축구 라디오
1676,Stay up-to-date on the latest Gators news with Florida Gators football radio.,플로리다 게이터스 미식축구 라디오로 최신 게이터스 뉴스를 청취하세요.
1677,FSU Radio,FSU(플로리다주립대) 라디오
1678,"Seminoles fans! FSU radio give you game day coverage, post-game highlights and more!","세미놀즈 팬 여러분! FSU 라디오는 경기 실황, 경기 후 하이라이트 등 다수를 제공합니다!"
1679,Free Football Radio,무료 미식축구 라디오
1680,"Keep up with the latest news, rumors, and analysis surrounding your favorite team with free football radio.","무료 미식축구 라디오로 좋아하는 팀에 대한 최신 뉴스, 소식 및 분석을 놓치지 마세요."
1681,Georgia Football Radio,조지아 미식축구 라디오
1682,Keep up with the latest Bulldog news by listening to Georgia football radio.,조지아 미식축구 라디오 청취로 최신 불독 뉴스를 놓치지 마세요.
1683,Iowa Football Radio,아이오와 미식축구 라디오
1684,Love your Hawkeyes? Get live gameday coverage with Iowa football radio.,호크아이를 좋아하세요? 아이오와 미식축구 라디오로 경기를 실황으로 청취하세요.
1685,Kansas Football Radio,캔자스 미식축구 라디오
1686,"TuneIn is your home for KU football radio needs. Listen to live games, coaches shows, and everything a Jayhawks fan would need.","TuneIn은 캔자스대학 미식축구 라디오를 위한 홈입니다. 라이브 경기, 코치 쇼 등 제이호크 팬을 위한 모든 내용을 청취하세요."
1687,Michigan Football Radio,미시간 미식축구 라디오
1688,"If you love the Wolverines, then you'll love Michigan football radio.",울버린을 좋아하신다면 미시간 미식축구 라디오가 맘에 드실 겁니다.
1689,Nebraska Football Radio,네브래스카 미식축구 라디오
1690,Can't get enough of the Cornhuskers? Listen to Nebraska football radio for nonstop coverage of your team.,콘허스커스에 대해 더 알고 싶으신가요? 네브래스카 미식축구 라디오로 팀에 대한 논스톱 보도를 청취하세요.
1691,Start a Free Trial,무료 평가판 시작
1692,"TuneIn Premium gives you the ultimate NHL radio experience. Upgrade today to unlock unlimited NHL internet radio coverage, including live play-by-play of every game on your team's NHL radio station.",TuneIn 프리미엄은 최고의 NHL 라디오 환경을 제공합니다. 지금 업그레이드하여 팀의 NHL 라디오 스테이션에 있는 모든 경기의 실황 중계를 포함하여 무제한 NHL 인터넷 라디오 콘텐츠를 잠금 해제하세요.
1693,Listen to NHL Radio,NHL 라디오 청취
1694,Listen to Ohio State Football,오하이오주립대학 미식축구 청취
1695,Listen to Ohio State football for live game day coverage of the Buckeyes.,오하이오주립대학 버크아이스 미식축구 경기를 실황으로 청취하세요.
1696,OU Football Radio,오클라호마대학 미식축구 라디오
1697,"TuneIn is your home for OU football radio. Listen to live games, coaches shows, and everything a Sooner fan would need.","TuneIn은 오클라호마대학 미식축구 라디오를 위한 홈입니다. 라이브 경기, 코치 쇼 등 수너 팬을 위한 모든 내용을 청취하세요."
1698,Oklahoma State Football Radio,오클라호마주립대학 미식축구 라디오
1699,Listen to Oklahoma State football radio for the best live Cowboys coverage everywhere you go.,오클라호마주립대학 미식축구 라디오로 어디에 계시든지 카우보이 경기를 실황으로 청취하세요.
1700,Penn State Football Radio,펜실베이니아주립대학 미식축구 라디오
1701,Listen to Penn State football radio for nonstop coverage of your Nittany Lions.,펜실베이니아주립대학 미식축구 라디오로 니타니 라이온스에 대한 논스톱 보도를 청취하세요.
1702,Purdue Football Radio,퍼듀 미식축구 라디오
1703,"Stream nonstop Boilermaker games, news and analysis with Purdue football radio.","퍼듀 미식축구 라디오로 보일러메이커 경기, 뉴스 및 분석을 논스톱으로 스트리밍하세요."
1704,Gamecock Football Radio,게임콕 미식축구 라디오
1705,South Carolina fans! Turn on Gamecock football radio for live game day coverage and analysis.,사우스캐롤라이나 팬 여러분! 게임콕 미식축구 라디오를 켜서 경기 실황 및 분석을 청취하세요.
1706,Start a Free Trial,무료 평가판 시작
1707,Upgrade to Premium for live streaming sports radio through local and national coverage from ESPN Radio to other top sports radio stations — all with less commercials.,ESPN 라디오에서 다른 최고 스포츠 라디오 스테이션으로 지역 및 전국 방송을 통해 스포츠 라디오를 라이브로 스트리밍할 수 있는 프리미엄으로 업그레이드하세요. 더 적은 광고로 제공됩니다.
1708,Premium Sports Radio,프리미엄 스포츠 라디오
1709,Tennessee Football Radio,테네시 미식축구 라디오
1710,Stream Tennessee football radio to stay up to date with your Volunteers.,테네시 미식축구 라디오를 스트리밍하여 볼런티어즈에 대한 최신 정보를 청취하세요.
1711,Listen to Texas A&M Football,텍사스 A&M 미식축구 청취
1712,Listen to Texas A&M football to root on your Aggies any time of the day.,텍사스 A&M 미식축구 청취로 언제든지  애기스를 응원하세요.
1713,Longhorn Football Radio,롱혼 미식축구 라디오
1714,"TuneIn is your home for Longhorn football radio. Listen to live games, coaches shows, and everything a Longhorn fan would need.","TuneIn은 롱혼 미식축구 라디오를 위한 홈입니다. 라이브 경기, 코치 쇼 등 롱혼 팬을 위한 모든 내용을 청취하세요."
1715,WVU Football Radio,WVU(웨스트버지니아대학) 미식축구 라디오
1716,Stream WVU football radio for play-by-play and gameday coverage of your West Virginia Mountaineers.,WVU 미식축구 라디오를 스트리밍하여 웨스트 버지니아 마운테이니어의 경기 실황 및 보도를 청취하세요.
1717,Wisconsin Football Radio,위스콘신 미식축구 라디오
1718,Love the Badgers? Experience the ultimate Wisconsin football radio coverage on TuneIn.,배저스를 좋아하시나요? TuneIn에서 위스콘신 미식축구 최고의 라디오 방송을 경험하세요.
1719,Edior's Choice,에디터스 초이스
1720,easy listening,쉬운 청취
1721,Buffering issues,버퍼링 문제
1722,Provide Feedback,피드백 제공
1723,Other issues,다른 문제
1724,Please let us know what we can improve,개선이 필요한 사항에 관해 알려 주시기 바랍니다
1725,Provide feedback about this issue,이 문제에 관한 피드백을 제공
1726,and,및
1727,Sign In,로그인
1728,Non-Binary,논바이너리
1729,Prefer Not to Say,말하고 싶지 않음
1730,Email or Username,이메일 또는 사용자 이름
1731,Birth Year (YYYY),출생연도(YYYY)
1732,First and Last Name,이름과 성
1733,Station does not play,스테이션이 재생되지 않음
1734,TuneIn radio for Android Support,Android 지원 TuneIn Radio
1735,TuneIn Radio for Android Premium Support,Android Premium 지원 TuneIn Radio
1736,Thank you for the feedback!,피드백을 제공해 주셔서 감사합니다!
1737,Too many ads,광고가 너무 많음
1738,"Highlighting Women In Sports        

",스포츠 분야의 여성 하이라이트
1739,Episodes Celebrating Women's History,여성의 역사를 기념하는 에피소드
1740,Female Hosted,여성 주최
1741,Local Music Stations,
1742,Top Pop,
1743,Local News Radio,
1744,Local News Updates,
1745,Top Talk News Stations on TuneIn,
1746,Explore by Sports,
1747,Episodes You’ll Love,
1748,Prices also may vary depending on location.,요금은 거주하는 국가에 따라 다를 수 있습니다.
1749,STEAMY TUNES{0}FOR THE BEDROOM.{0}LISTEN NOW.,분위기 있는 밤을 위한{0}에로틱한 음악.{0}지금 청취하세요.
1750,PRE-DATE ANTHEMS{0}TO PUMP YOU UP.{0}LISTEN NOW.,데이트하기 전에{0}활기를 불어넣어 주는 응원곡.{0}지금 청취하세요.
1751,HEAR EVERY GAME{0}OF THE NHL SEASON.{0}LISTEN LIVE.,NHL 시즌{0}전 경기를 들을 수 있습니다.{0}실시간으로 청취하세요.
1752,Cellular data is turned off for Downloads. Connect to WiFi or allow Downloads on cell data,셀룰러 데이터를 이용한 다운로드가 꺼진 상태입니다. Wi-Fi에 연결하거나 셀룰러 데이터를 통한 다운로드를 허용해 주세요.
1753,Celebrating Valentine's Day,발렌타인 데이 기념
1754,Celebrating Presidents Day,대통령의 날 기념
1755,HONORING BLACK {0}HISTORY MONTH.{0}LISTEN NOW.,흑인 역사의 달을{0}기념합니다.{0}지금 들어보세요.
1756,HAPPY BIRTHDAY{0}BOB MARLEY.{0}HEAR THE LEGEND.,밥 말리의 탄생을{0}축하합니다.{0}레전드의 음악을 들어보세요.
1757,BREAKING NEWS.{0}IN-DEPTH ANALYSIS.{0}LISTEN LIVE.,속보.{0}심층적 분석.{0}라이브 듣기.
1758,{album} by {artist},{artist}의 {album}
1759,black history month,흑인 역사의 달
1760,artwork,아트워크
1761,"	
YOUR DATING{0}SOUNDTRACK.{0}SET THE MOOD.",데이트{0}사운드트랙.{0}무드 설정.
1762,INDEPENDENT{0}MUSIC RADIO.{0}FREE YOUR EARS.,독립적인{0}음악 라디오.{0}귀를 해방시키세요.
1763,Featured Comedy Networks,특집 코미디 네트워크
1764,How much is TuneIn Premium?,TuneIn Premium 이용 요금은 얼마인가요?
1765,"For users who sign up through web or Android, the monthly subscription costs $9.99 USD and renews each month. For users who sign up through the iOS App Store, the monthly subscription costs $12.99* USD and renews each month.","웹이나 Android를 통해 등록하신 사용자의 경우, 월 구독료는 USD $9.99이며 매월 갱신됩니다. iOS App Store를 통해 등록하신 사용자의 경우, 월 구독료는 USD $12.99*이며 매월 갱신됩니다."
1766,"*Note: The iOS App Store charges an additional transaction fee for purchases made through the App Store on iOS devices. To avoid this, you can sign up for Premium via tunein.com and then log into your Premium account in the TuneIn app with your username and password.","*주의: iOS App Store는 iOS 기기상에서 App Store를 통해 구매한 경우에 추가 거래 수수료를 부과합니다. 이러한 수수료 지출을 피하려면, tunein.com을 통해 프리미엄에 등록하신 다음, TuneIn 앱에서 사용자 이름과 비밀번호로 프리미엄 계정에 로그인하시기 바랍니다."
1767,"	
ALL THE NEWS FROM{0}INAUGURATION DAY.{0}LISTEN LIVE.",대통령 취임식 관련{0}전체 뉴스.{0}실시간으로 청취하세요.
1768,JOE BIDEN SWORN IN{0}AS 46TH PRESIDENT.{0}LISTEN LIVE.,조 바이든이{0}제46대 대통령으로 취임했습니다.{0}실시간으로 청취하세요.
1769,Cancel failed,취소 실패
1770,Delete failed,삭제 실패
1771,"Due to a recent update, your browser no longer supports this station. Click on the icon below to keep listening with our new TuneIn popout player! Learn more about the update {{helplink/}}.","최근의 업데이트로 브라우저가 더는 이 스테이션을 지원하지 않습니다. 새로운 TuneIn 팝아웃 플레이어로 계속 청취하려면, 아래 아이콘을 클릭하세요! 업데이트 {{helplink/}}에 관해 자세히 알아보세요."
1772,"Commercial-Free CNN, FOX News Radio, MSNBC & More
","광고 없는 CNN, FOX News Radio, MSNBC와 그 밖의 방송국"
1773,Explore & Stream Sports Radio,스포츠 라디오를 탐색하고 스트림 청취하세요
1774,HOCKEY IS BACK.{0}HEAR EVERY{0}NHL GAME.,하키 시즌이 돌아왔어요.{0}NHL 전 경기를{0}청취하세요.
1775,Try risk-free for {{monthlytrial/}} days then $12.99/month or {{yearlytrial/}} days free then $99.99/annually.,"부담없이 {{monthlytrial/}}일간 무료로 체험한 후에 $12.99/월에 이용하거나, {{yearlytrial/}}일간 무료 체험 후에 $99.99/년에 이용할 수 있습니다."
1776,Unlock everything with TuneIn Premium for $12.99/month or $99.99/annually. Cancel anytime!,TuneIn Premium으로 모든 잠금 설정을 해제하고 $12.99/월 또는 $99.99/년에 이용할 수 있습니다. 언제든 취소 가능!
1777,{{monthlyprice/}}/month. Cancel anytime.,{{monthlyprice/}}/월. 언제든 취소 가능.
1778,"{{monthlytrial/}} days free, then $12.99/month","{{monthlytrial/}}일간 무료 체험 후, $12.99/월"
1779,$12.99/month. Cancel anytime.,$12.99/월. 언제든 취소 가능.
1780,"{{monthlytrial/}} days free, then $14.99/month","{{monthlytrial/}}일간 무료 체험 후, $14.99/월"
1781,$14.99/month. Cancel anytime.,$14.99/월. 언제든 취소 가능.
1782,Stream {0},{0} 스트림 방송
1783,"Get commercial-free Bloomberg Media, CNBC, CNN, FOX News Radio & MSNBC with TuneIn Premium. Plus commercial-free music for every mood and activity, and less ads on 100,000 radio stations.
","TuneIn Premium으로 Bloomberg Media, CNBC, CNN, FOX News Radio와 MSNBC를 광고 없이 청취하세요. 게다가 다양한 분위기와 활동에 어울리는 광고 없는 음악과 100,000여 개의 라디오 방송국이 더 적은 광고로 제공됩니다."
1784,Start 2021 off right with podcasts to inspire you all year.,지금 바로 팟캐스트로 시작하여 일년 내내 영감을 받으세요.
1785,ALABAMA.{0}OHIO STATE.{0}ONE FINAL GAME.,앨라배마.{0}오하이오주.{0}최종 결승전
1786,COLLEGE FOOTBALL{0}PLAYOFF.{0}LISTEN FOR FREE.,대학 미식축구{0}플레이오프.{0}무료 청취.
1787,Make A Resolution,다짐하기
1788,Wednesday Wind Down,수요일 긴장 풀기
1789,Find a new hobby,새 취미 찾기
1790,US College Football National Championship,미국 대학 미식축구 내셔널 챔피언십
1791,Get More Mindful,좀 더 유념해 두기
1792,Best Director Nominees,최우수 감독상 후보
1793,Best Actress Nominees,여우 주연상 후보
1794,Featured Adult Hits,성인 특집 히트작
1795,A NEW YEAR{0}OF NEW HITS.{0}LET'S BEGIN.,새해{0}새로운 히트 곡.{0}시작해요.
1796,In-Depth Analysis,심층 분석
1797,Pop Latino,라틴 팝
1798,Top 5 Holiday Podcasts,홀리데이 팟캐스트 톱5
1799,Best of True Crime,베스트 오브 트루 크라임
1800,NYE: HOME EDITION.{0}GOODBYE 2020.{0}HELLO 2021.,"새해 전야: 홈 에디션.{0}잘 가요, 2020년.{0}어서 와요, 2021년."
1801,2021 RESOLUTIONS:{0}MORE MUSIC.{0}LESS ADS.,2021년 결심: {0}더 많은 음악.{0}더 적은 광고.
1802,"Do Not Sell My Personal Information
","내 개인 정보를 팔지 마시오
"
1803,DO NOT SELL MY PERSONAL INFORMATION,내 개인 정보를 팔지 마시오
1804,"Commercial-Free CNN, FOX News Radio, MSNBC & More{0}Commercial-Free Music for Every Mood & Activity{0}Less Ads on 100,000 Radio Stations","상업광고 없는 CNN, FOX 뉴스 라디오, MSNBC 및 다수{0}상업광고 없는 모든 무드 및 활동용 음악{0}10만 라디오 방송국에서의 더 적은 광고"
1805,Please do not sell my PERSONAL INFORMATION,내 개인 정보를 팔지 마십시오
1806,Dedicated Podcasts,전용 팟캐스트
1807,Celebrating Asian Radio,"아시아 라디오 축하
"
1808,Today's Bowl Games,오늘의 미식축구 경기
1809,Automotive,자동차
1810,Other Auto,기타 자동차
1811,CHRISTMAS CLASSICS.{0}FESTIVE FAVORITES.{0}SPREAD SOME JOY.,크리스마스 클래식.{0}성탄절 인기곡 .{0}기쁨을 나누세요.
1812,Sleep Sounds,숙면 취하기
1813,Lull Yourself To Sleep,마음을 가라앉혀 수면 취하기
1814,Wind Down,긴장 풀기
1815,Get A Better Night's Sleep,더 나은 야간 수면 취하기
1816,US News & Politics,US 뉴스 및 정치
1817,Breaking local and national news and headlines from the U.S.,미국 내 현지 소식 및 속보.
1818,Hot Takes and Sports Debates,시선 집중 의견 및 스포츠 토론
1819,Hip Hop and R&B,힙합 및 R&B
1820,The Latest On The Issues,최신 이슈
1821,Local Music Stations,현지 음악 방송국
1822,Professional Football,프로 축구
1823,Ad-Free Holiday Music,무광고 성탄절 음악
1824,New Podcast Releases,새 팟캐스트 릴리스
1825,Dance Into 2021,2021년을 향한 댄스
1826,Content Creators,
1827,Broadcasters,
1828,Podcasters,
1829,Users,
1830,Mobile Apps,
1831,Home Devices,
1832,Other Home Devices,
1833,SOUNDTRACK THE SEASON,크리스마스 사운드트랙
1834,Do Not Sell My Personal Information,개인 정보 판매 거부
1835,Do not sell my personal information,개인 정보 판매 거부
1836,Do NOT SELL MY PERSONAL INFORMATION,개인 정보 판매 거부
1837,Add to Library,라이브러리에 추가
1838,Soundtrack The Season,크리스마스 사운드트랙
1839,Get into the spirit with the holiday mixes playing on these exclusive TuneIn music stations.,독점 TuneIn 음악 방송의 크리스마스 믹스와 함께 크리스마스 분위기를 느껴 보세요.
1840,"Listen to free internet radio, news, sports, music, and podcasts. Stream live CNN, FOX News Radio, and MSNBC. Plus 100,000 AM/FM radio stations featuring music, news, and local sports talk.",Not needed
1841,"election, election 2020, election radio, joe biden, donald trump, biden, trump, democrat, republican",Not needed
1842,"Stream the best Chinese Radio directly to your computer, smart speaker or mobile device.","최고의 중국어 라디오 방송을 컴퓨터, 스마트 스피커나 모바일 기기에서 직접 스트리밍 청취하세요."
1843,"Keep up with the latest news, rumors, and analysis surrounding your favorite team with free football radio.","무료 축구 라디오 방송을 통해 좋아하는 팀의 최신 뉴스, 소문과 경기 분석 결과를 확인하세요."
1844,"Stream in-depth coverage, breaking news, enticing rumors and exclusive interviews from talkSPORT – the world's most popular sports radio station.","세계에서 가장 인기 있는 스포츠 라디오 방송인 talkSPORT에서 심층 취재, 뉴스 속보, 마음을 끄는 소문과 독점 인터뷰를 스트리밍 청취하세요."
1845,"Stream WXPN live on TuneIn to discover new and significant artists in rock, blues, roots and folk.","TuneIn에서 WXPN을 생방송으로 스트리밍 청취하면서 록, 블루스, 루츠 록과 포크 음악의 새로운 중요 아티스트를 발견하세요."
1846,"Enjoy the world's best jazz from the Jazz Capital of the World! Stream New York's WBGO directly from your computer, smart speaker or mobile device.","Jazz Capital of the World에서 세계 최고의 재즈를 즐겨 보세요! 컴퓨터, 스마트 스피커나 모바일 기기에서 직접 뉴욕의 WBGO를 스트리밍 청취하세요."
1847,"TuneIn Premium is a recurring subscription. You will automatically be billed $0.99/month for your first 3 months, then $9.99/mo for the remainder of your subscription. Your subscription will auto-renew unless you cancel or turn off auto-renew at least 24 hours before the end of the current period.","TuneIn 프리미엄은 정기 구독 서비스입니다. 처음 3개월간 $0.99/월이 자동으로 청구되며, 그 이후의 구독에 대해서는 $9.99/월이 자동으로 청구됩니다. 현재 이용 기간이 끝나기 최소 24시간 전에 자동 갱신을 취소하거나 해제하지 않을 경우, 구독이 자동으로 갱신됩니다."
1848,Your TuneIn Premium access will be automatically canceled if you don’t enter your billing information at the end of the 30 days free trial period.,"30일 무료 체험 기간이 종료될 때 결제 정보를 입력하지 않으면, TuneIn 프리미엄 이용이 자동으로 취소됩니다."
1849,SOUNDTRACK THE SEASON,시즌 사운드 트랙
1850,WITH TUNEIN PREMIUM!,TUNEIN 프리미엄에서!
1851,ENTER CODE BELOW:,아래에 코드를 입력해 주세요:
1852,Let Us Know,알려 주세요
1853,News,뉴스
1854,New Releases,새로운 릴리즈
1855,The Rose Bowl,로즈 볼
1856,Today's Events,오늘의 이벤트
1857,Top Music Stations,최고의 음악 방송
1858,"election, election 2020, election radio, joe biden, donald trump, biden, trump, democrat, republican",Not needed
1859,SOUNTRACK {0} THE SEASON {0} WITHOUT ADS.,광고 없는 {0} 크리스마스 {0} 사운드트랙
1860,THE MOST WONDERFUL{0} TIME OF THE YEAR.{0}GET FESTIVE.,1년 중 {0} 가장 멋진 날.{0}크리스마스를 즐기세요.
1861,"Upgrade to Premium for ad-free music and news. Plus less ads on 100,000 internet radio stations.","프리미엄으로 업그레이드해 음악과 뉴스를 광고 없이 들어 보세요. 100,000여 개의 인터넷 라디오 방송을 더 적은 광고로 즐기세요."
1862,Go Commercial-Free!,광고 없이 청취
1863,Start Free Trial,무료 체험 시작
1864,Podcasts to Binge,몰아서 들을 만한 팟캐스트
1865,Hear your favorite frequency everywhere you go with live radio streaming of local and national stations!,즐겨 듣는 주파수를 어디에서나 지역 및 국내 방송국의 라이브 라디오 스트리밍으로 청취해 보세요!
1866,"	
Commercial-Free Holiday Music",광고 없는 크리스마스 음악
1867,Featured Holiday Music,크리스마스 특집 음악
1868,Festive Frequencies,크리스마스 라디오
1869,Browse is now here!,검색이 이제 여기에 있습니다!
1870,Audio picked for you,나를 위한 오디오
1871,Scroll right to explore all Browse categories,오른쪽으로 스크롤해 모든 검색 카테고리를 살펴보세요
1872,Sign into your iTunes Account,iTunes 계정으로 로그인
1873,Sign into your TuneIn Account,TuneIn 계정으로 로그인
1874,Start a Free Trial,무료 체험 시작
1875,"Upgrade to Premium for ad-free news from CNBC, CNN, Fox News Radio and MSNBC. Plus less ads on 100,000 radio stations.","프리미엄으로 업그레이드해 CNBC, CNN, Fox News Radio 및 MSNBC 뉴스를 광고 없이 청취해 보세요. 또한, 100,000여 개의 라디오 방송국을 더 적은 광고로 만나 보세요."
1876,Go Commercial-Free,광고 없이 청취하기
1877,Unfavorite,즐겨찾기 해제
1878,Football,풋볼
1879,"Listen to free internet radio, news, sports, music, talk, and podcasts: Live stream CNN, FOX News Radio, and MSNBC, plus 100,000 AM/FM radio stations.","라이브 스트리밍 CNN, Fox News Radio 및 MSNBC를 비롯해 100,000여 개의 AM/FM 라디오 방송국의 인터넷 라디오, 뉴스 스포츠, 음악, 대담, 팟캐스트를 무료로 청취해 보세요."
1880,Audio picked for you,나를 위한 오디오
1881,Browse is now here!,검색이 이제 여기에 있습니다!
1882,Scroll right to explore all Browse categories,오른쪽으로 스크롤해 모든 검색 카테고리를 살펴보세요
1883,Don't like ads?,광고를 보고 싶지 않으신가요?
1884,No ads,광고 없음
1885,Unlock everything with TuneIn Premium for {{monthlyprice/}}/month or {{yearlyprice/}}/annually. Cancel anytime!,{{monthlyprice/}}/월 또는 {{yearlyprice/}}/년에 TuneIn 프리미엄으로 모든 기능을 이용하세요. 언제든 취소할 수 있습니다!
1886,Limnos,림노스
1887,IT'S NEVER TOO EARLY{0}FOR HOLIDAY MUSIC.{0}HOLIDAY HITS.,{0}연말연시 음악{0}은 일찍 즐길수록 좋아요. 연말연시 인기 음악.
1888,Go Premium to remove ads,프리미엄을 이용하고 광고를 제거
1889,TuneIn uses your local WiFi network to discover speaker devices.,TuneIn은 로컬 Wi-Fi 네트워크를 이용하여 스피커 장치를 검색합니다.
1890,ADVERTISEMENT,광고
1891,Nonstop Sports Talk,논스톱 스포츠 대담
1892,holiday music,연말연시 음악
1893,"home for the holidays, holiday music, christmas","연말연시, 연말연시 음악, 크리스마스의 안식처"
1894,Your Guide To the U.S. Presidential Election Day,미국 대통령 선거일 가이드
1895,Related Podcasts,관련 팟캐스트
1896,BREAKING NEWS.{0}EXPERT ANALYSIS.{0}LISTEN LIVE.,뉴스 속보.{0}전문가 분석.{0}생방송 청취.
1897,Unfavorite,즐겨찾기 해제
1898,START LISTENING NOW,지금 청취 시작
1899,Featured Top 40 & AC,Top 40 및 어덜트 컨템포러리 특집
1900,Featured Hip Hop and R&B,힙합 및 R&B 특집
1901,Coronavirus and COVID-19 news.,코로나바이러스 및 COVID-19 뉴스.
1902,"covid, coronavirus, covid-19, coranavirus, pandemic","covid, 코로나, covid-19, 코로나바이러스, 전염병"
1903,Feel Good Audio,기분 좋은 오디오
1904,Music Podcasts,음악 팟캐스트
1905,Live Now,생방송 중
1906,COMMERCIAL-FREE {0}NEWS & MUSIC.{0}GO PREMIUM.,광고 없는 {0}뉴스와 음악.{0}프리미엄을 이용하세요.
1907,BUSINESS MARKETS.,비즈니스 시장.
1908,Added to your favorites,즐겨찾기에 추가되었습니다
1909,"Something went wrong, please try again later",문제가 발생했으니 나중에 다시 시도해 주세요
1910,Episode added to your favorites,에피소드가 즐겨찾기에 추가되었습니다
1911,Podcast added to your favorites,팟캐스트가 즐겨찾기에 추가되었습니다
1912,Station added to your favorites,방송국이 즐겨찾기에 추가되었습니다
1913,Removed from your favorites,즐겨찾기에서 제거되었습니다
1914,Episode removed from your favorites,에피소드가 즐겨찾기에서 제거되었습니다
1915,Podcast removed from your favorites,팟캐스트가 즐겨찾기에서 제거되었습니다
1916,Station removed from your favorites,방송국이 즐겨찾기에서 제거되었습니다
1917,"Wherever you are, whatever you want to hear, Hear Here.	","어디에 있든, 무엇을 청취하고 싶든, 지금 청취하세요."
1918,"Live Network News. 100% Commercial-Free.{0}Replace the Ads With News on CNN, FOX News Radio and MSNBC.{0}30+ Channels of Commercial-Free Music. Today’s Hits, Classic Rock, and more.","라이브 네트워크 뉴스. 100% 광고 없음.{0}CNN, FOX News Radio 및 MSNBC 뉴스로 광고를 대체하세요.{0}광고 없이 음악을 즐길 수 있는 30개 이상의 채널 오늘의 인기 음악, 클래식 록 등"
1919,"Top News Networks. 100% Commercial-Free.{0}30+ Exclusive Commercial-Free Music Channels.{0}No Additional Ads on 100,000 Live Radio Stations.","인기 뉴스 네트워크 100% 광고 없음.{0}광고 없이 음악을 즐길 수 있는 30개 이상의 독점 채널{0}추가 광고 없는 100,000개 라이브 라디오 방송국"
1920,"Live Network News.100% Commercial-Free.{0}Commercial-Free Music for Every Mood & Activity.{0}Less Ads on 100,000 Stations & Podcasts.","라이브 네트워크 뉴스.100% 광고 없음.{0}원하는 분위기와 액티비티에 맞게 광고 없이 즐기는 음악.{0}광고가 적은 100,000개 방송국 및 팟캐스트."
1921,"Ad-Free CNN, FOX News Radio and MSNBC.{0}30+ Channels of Commercial-Free Music.{0}Less Ads on 100,000 Radio Stations.","CNN, FOX News Radio, MSNBC를 광고 없이 들으세요.{0}광고 없이 음악을 즐길 수 있는 30개 이상의 채널.{0}광고가 적은 100,000개 방송국."
1922,"Less Ads on 100,000 Stations & Podcasts.{0}Replace the Ads With News on CNN, FOX News Radio and MSNBC.","광고가 적은 100,000개 방송국 및 팟캐스트.{0}}CNN, FOX News Radio 및 MSNBC 뉴스로 광고를 대체하세요."
1923,"Follow the 2020 Election with 100% commercial-free news from CNBC, CNN, FOX News Radio & MSNBC. Plus ad-free music and less ads on 100,000 radio stations.","CNBC, CNN, FOX News Radio, MSNBC에서 광고 없이 2020년 대선 뉴스를 따라잡으세요. 더불어 100,000개 라디오 방송국에서 광고 없이 또는 적은 광고로 음악을 즐기세요."
1924,Today's News Events,오늘의 뉴스 이벤트
1925,Live Now,지금 생중계
1926,Global Sports Radio,전 세계 스포츠 라디오
1927,HAPPY ROCKTOBER.{0}LONG LIVE{0}ROCK & ROLL.,해피 록토버.{0}롱 리브{0}로큰롤.
